Буква,Владелец / Описание,№ по генеральному плану,В которой части
А,Аллопеуса Максима тайнаго Советника,"69, 70, 77",6
Б,Букатого иосифа ротмистра,"24, 32","2, 3"
В,Веляшовскаго викентія шамбеляна,6,1
В,Воловичевъ Генералъ адъютанта викентія подкомержаго Станислава и шамбеляна Ксаверія,"18, 22","1, 1"
В,Вольскаго валерияна,56,6
В,Волбековой розаліи старостины,65,5
В,Венславовичевой елеоноры писаревой,74,6
В,Вольскаго Карла мостовничаго,76,6
Г,Горбатовскихъ павла и тадеуша,14,1
Г,Грузевичевъ александра и игнатія,"29, 30",3
Г,Грохольскаго брацлавскаго вице Губернатора,35,4
Г,Горвата игнатія Судьи,"58, 59, 60","6, 7, 7"
Д,Деростенскина тайнаго Советника,"21, 28, 35","3, 3, 4"
Е,Еленскаго Ивана старосты впожизненномъ владеніи устаростины розаліи Волбековой,65,5
Е,Еленскаго иосифа Генералъ маіора,70,6
Ж,"Жудровъ Станислава Судьи, Игнатія ротмистра рафала порутчика михайлы Судьи",48,5
З,Залескаго ивана Коллежскаго регистратора,4,1
З,Забеллы игнатія Мостовничаго,19,2
З,Завистовскаго Ивана хоронжего,69,6
И,Ивашкевичевъ ксаверія и адама,5,1
К,Кляштора речицкаго доминиканскаго,"12, 20","1, 2"
К,Козела діонизія Стражника,27,2
К,Кляштора остроглядовскаго римскаго,52,5
К,Крушевской каролины подстолины,56,4
К,Казеннаго ведомства,56,4
К,Кляштора ординскаго доминиканскаго,47,5
К,Казарина Михайлы ротмистра кандидовъ игнатія ивана доставшейся покупкою Михайлы просковскому Крушевской вдовы Каролины,48,5
К,Кляштора Селецкаго базыліанскаго,"64, 66","5, 6"
К,Корсаковъ флорияна и станислава,59,7
К,Корсаковъ иосифа анжелма ивана тиляцида рафала и аполинарія,"59, 69","7, 6"
М,Михайлова андрея действительнаго Статскаго Советника,62,6
О,околичнаго шляхетства,14,1
О,Оскирки яна Стражника,23,2
О,Оскирки Игнатія подстаросты,"25, 40","2, 4"
О,Оскирки флорияна Судьи земскаго,43,5
О,Обуховичевъ яна и рафала,45,5
О,Оскирки Станислава Чешника,"46, 50",5
О,Оскирки леополда хоронжего,"49, 46",5
О,Оскирки Михайлы порутчика,51,5
О,Оскирки амброжего Генералъ адъютанта,53,5
О,Оскирки антонія полковника и ковалера,64,6
О,Обуховича филипа впожизненномъ владеніи у христины оскирчиной,71,6
О,Оскирчины христины хорунжины,73,
О,Остермана ивана действительнаго тайнаго Совѣтника,75,
П,Потоцкой елены Графини,"17, 28","7, 3"
П,Плебаніи якимовицкой Священника василья романовскаго,7,7
П,Плебаніи Заспенской Священника Стефана Хлебовскаго,"10, 11",1
П,Приберинъ Кляры Сендины,13,
П,Приборъ трояна Судьи земскаго,22,1
П,Павшевыхъ Михайлы и тадеуша,33,3
П,Плебаніи Отпаства или архимандріи овруцкой,40,2
П,Приборъ петра Судьи,49,5
П,Приборъ бенедикта крайчаго,61,6
П,Плебаніи мозырской римско католической,61,6
Р,Речица городъ: Съ выгонною землею,"(А, В)",1
Р,рожитскихъ людвига и аллоизия каштеляничей,"20, 26","2, 3"
Р,рожерсона ивана действительнаго Статскаго Советника,38,4
Р,русецкаго матвея бывшаго Мозырскаго городничего а понаследству владеетъ дочь ево антонина жена мерлова,48,5
С,Староство речицкое Генералъ лейтенанта Графа годицкаго в пожизненномъ владеніи,1,1
С,Солтана ивана писаря гродскаго,2,
С,Солтановъ винкентія и франтишка,"5, 6",
С,Солтана Станислава ротмистра,5,
С,Солтановъ викентия и франтишка,5,
С,Сестренцевича людвига подполковника,9,7
С,Солтана андрея ловчаго,20,2
С,Стоцкаго куприяна Судьи,30,3
С,Сиверса якова действительнаго тайнаго Советника Сокоцкаго фонды,"37, 39, 43","4, 5, 5"
С,Настоящое ротмистра павла комбы,42,4
С,Стоцкаго адама,"44, 47","4, 5"
С,Загальское Графа Станислава буржинскаго,52,5
С,Мозырское Старосты Ивана еленскаго,55,6
С,Суховацкое подкоморжаго Константына Еленскаго,"57, 61",6
С,Багримовское Антонія оскирки,63,5
С,Селецкое Старостины розаліи волбековой,66,6
Т,Тычинина Степана Секундъ Маіора,15,1
Т,Третьяка антонія,48,5
Х,Халецкаго казимира обозного,8,1
Х,Халецкаго тадеуша каминскаго,9,1
Х,Халецкаго павла ротмистра,9,1
Ш,Шумскаго кароля прозора и жены людвиги,"24, 26, 31, 32, 41","2, 3, 4/2"
Ю,Юдицкаго генералъ лейтенанта Графа впожизненномъ владении,"1, 19","1, 6, 7, 3"
Ю,Юноши иосифа шамбеляна,34,4
Я,Ястржембскаго ивана шамбеляна,24,2
