Letter,Landowner / entry (diplomatic transcription),No. 1,No. 2
А,Антонуса Максимилиана Тайного Советника,"69, 70, 71",6
Б,Бугатского Иосифа ротмистра,"24, 52","2, 3"
В,Вельмовскаго Викентія Шамбеляна,6,1
В,Воловичевъ Генералъ адъютанта Викентія поручика Станислава и Шамбеляна Андрея,"19, 22",1
В,Вольскаго Валеріана,30,6
В,Волчковичъ разныхъ старостинъ,65,5
В,Венславовичовой Елеоноры писаревой,74,6
В,Вольскаго Карла Шамбеляна,76,6
Г,Горбатовскихъ Павла Штабсъ-…,14,1
Г,Гузиковъ Александра и Игнатія,"29, 30",3
Г,Горчинскаго Францискаго вице губернатора,35,4
Г,Горвата Игнатія Судьи,"58, 59, 60","6, 7"
Д,Деростенскаго Тайного Советника,"21, 22, 55","3, 4"
Е,Еленскаго Ивана старосты … жителей владѣній Утрощи[?] и въ роздѣлѣ Волеводовой,65,5
Е,Еленскаго Иосифа Венскаго майора,70,6
Ж,"Жуковой Станислава вдовы, Игнатія ротмистра, Эразма поручика или Павла Судьи",48,5
З,Залескаго Ивана Коллежскаго регистратора,7,1
З,Залескій Игнатій Шамбелянъ,19,2
З,Забистовскаго Ивана хорунжаго,69,6
И,Иванкевичовъ Каспара и Людвика,5,1
К,Климшора Речицкаго доминиканскаго,12,1
К,Козла Фомы Стражника,20,2
К,Клемшора Остроглядовскаго Францискаго,27,2
К,Крушевскаго Каролины подстолиной,32,3
К,Казеннаго ведомства,36,4
К,Клемшора фольварка доминиканскаго,41,5
К,Клемшора Игнатія ротмистра Климовъ[?] Игнатія Ивана и остальныхъ по купчей Михаилу Проскурскому Крушинской вдовы Каролины,48,5
К,Клемшора Селицкаго базиліанскаго,54,5
К,Корженевскаго Франциска Исправника,60,6
К,Корженевскаго Иосифа дивизіи Ивана,59,7
К,Клемшора разныхъ католическихъ,69,7
М,Михайлова Андрея действительнаго Статскаго Советника,62,6
О,Окончина Шляхетства,14,1
О,Оскерки Яна Стражника,23,2
О,Оскерки Игнатія подстолія,25,2
О,Оскерки Фаддея Судьи Земскаго,"40, 43","4, 5"
О,Обуховичевъ Яна Хорунжаго,45,5
О,Оскерки Станислава Чешника,46,
О,Оскерки Леонарда Хорунжаго,49,
О,Оскерки Игнатія поручика,51,
О,Оскерки Амброзія Генералъ адъютанта,53,
О,Оскерки Антонія Полковника Шамбеляна,64,
О,Обуховича Филиппа Статскаго Советника въ пожизненномъ владѣніи узурпированныя Оскерками,71,6
О,Оскерки Христіана Хорунжаго,73,
О,Острожскаго Ивана действительнаго Тайнаго Советника,75,
П,Потоцкаго Семена графини,17,1
П,Плебаніи Якимовичской Священника викарія римскаго,28,3
П,Плебаніи Бастенской Священника Степана Амбражскаго,7,7
П,Прудовича Петра Секретаря,10,
П,Прудовича Петра Сенатора,11,1
П,Прудовича Трофима Судьи Земскаго,13,
П,Плебаніи Шляхетской исповедника,29,
П,Плебаніи Отталенской или архимандріи Овручской,33,3
П,Прудовича Петра Судьи,40,2
П,Прудовича Бенедикта Земскаго,49,5
П,Плебаніи Мозырской римско-католической,61,6
Р,Речица городъ — съ выгонною землею,"2, 3",1
Р,Рожинскихъ Людвига и … Кашталяна[?],20,2
Р,Рожинскаго … действительнаго …,26,2
Р,Ратынскаго Советника,38,4
Р,Речицкаго Шляхетскаго бывшаго магдебургскаго города,,
Р,… жена Шерлова[?],48,5
С,Староство Речицкое,,
С,Генералъ лейтенанта графа Голштинскаго[?] владѣніе,1,1
С,Солтана Ивана писаря …,2,
С,Солтановъ Викентія и …,"5, 6",
С,Солтана Станислава ротмистра,5,
С,Солтановъ Викентія и Франтишка,5,
С,Селицкаго монастыря православнаго,9,7
С,Солтана Андрея Ловчаго,20,2
С,Староство Хуторское Судьи,30,3
С,Сивера Якова действительнаго Тайнаго Советника,37,4
С,Солтана Станислава …,39,
С,… Солтана … Николаеваго,43,5
С,Ротмистра Павла Голуба,42,4
С,Солтана Адама,47,4
З(?),Здравка Станислава бурмистра,52,5
Мозырское,Староство Ивана Селицкаго,55,6
Суховицкое,Подкоморскаго Константина Еленскаго,57,6
Ларишовское,Антонія Оскерки,63,5
Селецкое,Старостамъ разныхъ вековой[?],66,6
Т,Тышкевича Степана Секундъ майора,15,1
Т,Туретцкаго Антонія,48,5
Х,Халецкаго Казимира Обозного,8,7
Х,Халецкаго Тадеуша Каменскаго,9,7
Х,Халецкаго Павла ротмистра,9,7
Ш,Шуйскаго Игнатія прозора и жены Людвики,"24, 26, 31, 32, 41","2, 3, 4"
Ю,Юрецкаго Генералъ лейтенанта графа Отоманенскаго[?] владѣніе,"1, 19","6, 7, 8"
Ю,Юноши Иосифа Шамбеляна,34,4
Я,Ястржембскаго Ивана Шамбеляна,24,2
